,start_station_name,value
1245,W 21 St & 6 Ave,54
1364,West St & Chambers St,45
8,1 Ave & E 68 St,40
1185,University Pl & E 14 St,39
345,Broadway & E 14 St,36
366,Broadway & W 25 St,36
376,Broadway & W 58 St,36
220,6 Ave & W 33 St,35
455,Cleveland Pl & Spring St,35
240,8 Ave & W 33 St,34
367,Broadway & W 29 St,34
231,7 Ave & Central Park South,33
347,Broadway & E 21 St,33
461,Clinton St & Grand St,33
1361,West End Ave & W 60 St,33
1365,West St & Liberty St,33
434,Central Park S & 6 Ave,31
615,E 33 St & 1 Ave,31
1247,W 22 St & 8 Ave,30
23,11 Ave & W 41 St,29
